Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
Municipal	Mansfield	Tarrant		Terri	Gaines	Wilson		Associate Judge	1305 E Broad St	Mansfield	76063	(817)276-4716	 dani.soria@mansfieldtexas.gov
Municipal	Pelican Bay	Tarrant		James	R.	Wilson		Presiding Judge	1300 Pelican Cir	Pelican Bay	76020-4500	(817)444-1234	 tanthony@cityofpelicanbay.com
District	213th District Court	Tarrant		Christopher (Chris)	R.	Wolfe		Judge	401 W Belknap	Fort Worth	76196-0217	(817)884-1529	 CRWolfe@tarrantcounty.com
County	County Court at Law No. 1	Tarrant		Tracey		Wood		Court Coordinator	100 W Weatherford, Rm 490	Fort Worth	76196-0240	(817)884-2761	 tlwood@tarrantcounty.com
Justice of the Peace	Precinct 8 Place 1	Tarrant		Lisa	R.	Woodard		Judge	3500 Miller Ave	Fort Worth	76119	(817)531-5625	 mmwhite@tarrantcountytx.gov
District	371st District Court	Tarrant		Teri		Workman		Court Reporter	401 W Belknap	Fort Worth	76196-7118	(817)884-2895	 371stDC@Tarrantcounty.com
County	County Criminal Court No. 5	Tarrant		Robin		Worley		Court Reporter	401 W Belknap, 6th Fl	Fort Worth	76196-0243	(817)884-2728	 ceprice@tarrantcounty.com
County		Tarrant		Sheila		Wynn	(Criminal)	Magistrate					
District	236th District Court	Tarrant		Rhonda		Young		Court Coordinator	100 N Calhoun	Fort Worth	76196	(817)884-1709	 rfyoung@tarrantcounty.com
County	County Criminal Court No. 8	Tarrant		Christy		Young		Court Coordinator	401 W Belknap, 7th Fl	Fort Worth	76196-0401	(817)884-3403	 cdyoung2@tarrantcounty.com
Municipal	Everman	Tarrant		Tony	Ray	Young		Associate Judge	212 N Race St	Everman	76140-3297	(817)293-0525 - ext. 302       	 emartinez@evermantx.net
District	323rd District Court	Tarrant		Stephanie		Zanfino		Court Coordinator	2701 Kimbo Rd	Fort Worth	76111-3007	(817)838-4647	 323rdfamilycourt@tarrantcounty.com
Municipal	Abilene	Taylor		Keith	A.	Barton		Associate Judge	P O Box 60	Abilene	79604-0060	(325)676-6333	 court@abilenetx.gov
District	326th District Court	Taylor		Lisa		Clements		Court Coordinator	300 Oak St, Ste 403	Abilene	79602-1521	(325)674-1325	 clementsl@taylorcountytexas.org
Municipal	Tye	Taylor		Keith	M.	Collom		Presiding Judge	P O Box 369	Tye	79563-0369	(325)692-9581	 amanda.chavez@cityoftye.org
Municipal	Abilene	Taylor		Chace	Aaron	Craig		Presiding Judge	P O Box 60	Abilene	79604-0060	(325)676-6333	 court@abilenetx.gov
County	County Court	Taylor		Phillip		Crowley		Judge	400 Oak St, Ste 300	Abilene	79602-1576	(325)674-1235	 bollsd@taylorcountytexas.org
County	County Clerk Office	Taylor		Brandi		DeRemer		Clerk	300 Oak St, Ste 100	Abilene	79602-1575	(325)674-1202	 countyclerk@taylorcountytexas.org
County	County Court at Law No. 2	Taylor		Brandi		DeRemer		Court Coordinator	300 Oak St, Ste 501	Abilene	79602-1538	(325)674-1208	
Justice of the Peace	Precinct 4 Place 1	Taylor		David	Donald	Doherty		Judge	P O Box 5	Lawn	79530-0005	(325)583-2341	 dohertyd@taylorcountytexas.org
Justice of the Peace	Precinct 3 Place 1	Taylor		Earl		Donnell		Judge	442 Graham St	Tuscola	79562-0361	(325)554-7893	
District	42nd District Court	Taylor		James		Eidson		Judge	300 Oak St, Ste 401	Abilene	79602-1521	(325)674-1314	 quinney@taylorcountytexas.org
County	County Court	Taylor		Brooke		Gallimore		Court Coordinator	400 Oak St, Ste 300	Abilene	79602-1576	(325)674-1235	 bollsd@taylorcountytexas.org
District	326th District Court	Taylor		Ann		Graham		Court Coordinator	300 Oak St, Ste 403	Abilene	79602-1521	(325)674-1325	 clementsl@taylorcountytexas.org
County	County Court at Law No. 2	Taylor		Harriett	L.	Haag		Judge	300 Oak St, Ste 501	Abilene	79602-1538	(325)674-1208	
District	104th District Court	Taylor		Karyn		Hansen		Court Coordinator	300 Oak St, Ste 402	Abilene	79602-1521	(325)674-1313	
County	County Court at Law	Taylor		Robert		Harper		Judge	300 Oak St, Ste 500	Abilene	79602-1538	(325)674-1323	
District	104th District Court	Taylor		Sherry		Hatley		Court Reporter	300 Oak St, Ste 402	Abilene	79602-1521	(325)674-1260	
District		Taylor		James (Jim)	B.	Hicks	III	Criminal Attorney	300 Oak St, Ste 300	Abilene	79602-1521	(325)674-1261	
District	326th District Court	Taylor		Kimberly		Hogan		Court Reporter	300 Oak St, Ste 403	Abilene	79602-1521	(325)674-1325	 clementsl@taylorcountytexas.org
Justice of the Peace	Precinct 1 Place 2	Taylor		Shawna		Joiner		Judge	301 Oak St, Ste 612	Abilene	79602-1698	(325)674-1267	 jp1-2@taylorcountytexas.org
Justice of the Peace	Precinct 2 Place 1	Taylor		Robert	J.	Jones		Judge	P O Box 225	Merkel	79536	(325)928-5114	 jp2merkel@taylorcountytexas.org
District	350th District Court	Taylor		Kathryn	K.	Klapp		Court Reporter	300 Oak St, Ste 404	Abilene	79602-1521	(325)674-1242	 pearsonw@taylorcountytexas.org
County	County Court at Law	Taylor		Caroline		Kreitler		Court Reporter	300 Oak St, Ste 500	Abilene	79602-1538	(325)674-1323	
Justice of the Peace	Precinct 1 Place 1	Taylor		Mike		McAuliffe		Judge	450 Pecan, Ste 110	Abilene	79602-1526	(325)674-1338	 mcauliffem@taylorcountytexas.org
District	42nd District Court	Taylor		Teri		Nichols		Court Reporter	300 Oak St, Ste 401	Abilene	79602-1521	(325)674-1258	 quinney@taylorcountytexas.org
District	350th District Court	Taylor		Wendi	S.	Pearson		Court Coordinator	300 Oak St, Ste 404	Abilene	79602-1521	(325)674-1242	 pearsonw@taylorcountytexas.org
District	104th District Court	Taylor		Jeff		Propst		Judge	300 Oak St, Ste 402	Abilene	79602-1521	(325)674-1313	
District	42nd District Court	Taylor		Darla		Quinney		Court Coordinator	300 Oak St, Ste 401	Abilene	79602-1521	(325)674-1314	 quinney@taylorcountytexas.org
District	District Clerk Office	Taylor		Tammy		Robinson		Clerk	300 Oak St, Ste 400	Abilene	79602-1580	(325)674-1316	
District	326th District Court	Taylor		Paul	R.	Rotenberry		Judge	300 Oak St, Ste 403	Abilene	79602-1521	(325)674-1325	 clementsl@taylorcountytexas.org
Municipal	Tuscola	Taylor		Bobby	Lee	Shea	Jr.	Presiding Judge	418 Graham St	Tuscola	79562	(325)554-7766	 tuscola2@taylortel.net
Municipal	Merkel	Taylor		Monte		Sherrod		Presiding Judge	100 Kent St	Merkel	79536-3612	(325)928-4911	 court@merkeltexas.com
County	County Court at Law	Taylor		Maria		Tolentino		Court Coordinator	300 Oak St, Ste 500	Abilene	79602-1538	(325)674-1323	
County	County Court at Law No. 2	Taylor		Position		Vacant		Court Reporter	300 Oak St, Ste 500	Abilene	79602-1575	(325)674-1208	
District	326th District Court	Taylor		Patty		Wenetschlaeger		Associate Judge	300 Oak St, Ste 403	Abilene	79602-1521	(325)674-1325	 clementsl@taylorcountytexas.org
District	350th District Court	Taylor		Thomas	Michael	Wheeler		Judge	300 Oak St, Ste 404	Abilene	79602-1521	(325)674-1242	 pearsonw@taylorcountytexas.org
District	63rd District Court	Terrell		Roland		Andrade		Judge	P O Drawer 1089	Del Rio	78841-1089	(830)774-7523	 63rddistrictcourt@valverdecounty.texas.gov
Justice of the Peace	Precinct 1 & 2 Place 2	Terrell		Corina	Olivares	Arredondo		Judge	P O Box 833	Sanderson	79848	(432)345-2341	 corina.castrojp@co.terrell.tx.us
County		Terrell		Ken		Bellah		Attorney	P O Box 175	Sanderson	79848	(432)345-2863	
District	83rd District Court	Terrell		Robert	E.	Cadena		Judge	P O Box 1860	Del Rio	78841-1860	(830)774-7654	 ntorres@valverdecounty.texas.gov
County	County Court	Terrell		Dale	Lynn	Carruthers		Judge	P O Box 4810	Sanderson	79848-4810	(432)345-2421	 santiago.flores@co.terrell.tx.us
Justice of the Peace	Precincts 3 & 4 Place 1	Terrell		Kelli	Seree	Ellis		Judge	P O Box 368	Sanderson	79848	(432)345-2660	 kelli.ellis@co.terrell.tx.us
District	63rd District Court	Terrell		Ana		Guia		Court Coordinator	P O Drawer 1089	Del Rio	78841-1089	(830)774-7523	 63rddistrictcourt@valverdecounty.texas.gov
District	83rd District Court	Terrell		Whitney		Harry		Court Reporter	776 Lago Vista Dr	Del Rio	78840	(832)723-5601	 ntorres@valverdecounty.texas.gov
County	County Clerk Office	Terrell	Ms.	Raeline		Thompson		Clerk	P O Drawer 410	Sanderson	79848	(432)345-2391	
District	District Clerk Office	Terrell	Ms.	Raeline		Thompson		Clerk	P O Drawer 410	Sanderson	79848-0410	(432)345-2391	
District	83rd District Court	Terrell		Nelva	Y.	Torres		Court Coordinator	P O Box 1860	Del Rio	78841-1860	(830)774-7654	 ntorres@valverdecounty.texas.gov
District	63rd District Court	Terrell		Lisa		Traslavina		Court Reporter	P O Drawer 1089	Del Rio	78841-1089	(830)774-7523	 63rddistrictcourt@valverdecounty.texas.gov
District	121st District Court	Terry		Leanna		Campos		Court Coordinator	500 W Main, Rm 302W	Brownfield	79316	(806)637-7742	 lcampos@terrycounty.org
County	County Clerk Office	Terry		Kim		Carter		Clerk	500 W Main, Rm 105	Brownfield	79316-4398	(806)637-8551	
Municipal	Brownfield	Terry		David		Cox		Presiding Judge	218 W Main St	Brownfield	79316-4439	(806)637-7776	 judgedavidcox@ci.bownfield.tx.us
District	121st District Court	Terry		John (Trey)	A.	Didway		Judge	500 W Main, Rm 302W	Brownfield	79316	(806)637-7742	 lcampos@terrycounty.org
County		Terry		K.	Jo'Shae	Ferguson-Worley		Attorney	500 W Main, Rm 208E	Brownfield	79316-4335	(806)637-4984	
Justice of the Peace	Countywide	Terry		Angie	P.	Garza		Judge	507B W Main	Brownfield	79316-4335	(806)637-4757	
District	121st District Court	Terry		Kayla		McKennon		Court Reporter	500 W Main, Rm 302W	Brownfield	79316	(806)637-6958	 lcampos@terrycounty.org
County	County Court	Terry		Kayla		McKennon		Court Reporter	500 W Main, Rm 102	Brownfield	79316-4335	(806)637-7230 - ext. 229       	
County	County Court	Terry		Dalia		Moya		Court Coordinator	500 W Main, Rm 102	Brownfield	79316-4335	(806)637-6421 - ext. 336       	
District	District Clerk Office	Terry		Tiffany		O'Briant		Clerk	500 W Main, Rm 209E	Brownfield	79316-4335	(806)637-4202	
County	County Court	Terry		Tony		Serbantez		Judge	500 W Main, Rm 102	Brownfield	79316-4335	(806)637-6421	
District	39th District Court	Throckmorton		Bridgette		Barrow		Court Reporter	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
District	39th District Court	Throckmorton		Shane		Hadaway		Judge	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
County	County Court	Throckmorton		Caleb		Hodges		Judge	105 N Minter St	Throckmorton	76483-5917	(940)849-8805	 trey.carrington@throckmortoncounty.org
County		Throckmorton		Jeff		Mathiews		Attorney	P O Box 452	Throckmorton	76483	(940)849-0020	
County	County Clerk Office	Throckmorton		Dianna		Moore		Clerk	P O Box 309	Throckmorton	76483-0309	(940)849-8815	 dianna.moore@throckmortoncounty.org
District	District Clerk Office	Throckmorton		Dianna		Moore		Clerk	P O Box 309	Throckmorton	76483	(940)849-8815	 dianna.moore@throckmortoncounty.org
District	39th District Court	Throckmorton		Deborah		Smith		Court Coordinator	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
Justice of the Peace	Countywide	Throckmorton		Bobby	J.	Thompson		Judge	P O Box 721	Throckmorton	76483-5917	(940)849-8830	 hayley.briles@throckmortoncounty.org
Justice of the Peace	Precincts 1, 3 & 4	Titus		Steve		Agan		Judge	100 S Madison, Ste 100	Mount Pleasant	75455	(903)577-6760	 jp134@co.titus.tx.us
County	County Clerk Office	Titus		Leslie		Brosnan		Clerk	100 W 1st St, Ste 204	Mount Pleasant	75455-4443	(903)577-6796	 lbrosnan@co.titus.tx.us
District	District Clerk Office	Titus		Marcus		Carlock		Clerk	P O Box 492	Mount Pleasant	75456-0492	(903)577-6724	 districtclerk@co.titus.tx.us
District	276th District Court	Titus		Linda		Carroll		Court Reporter	500 Broadnax St	Daingerfield	75638-1337	(903)645-2581	
County		Titus		John		Cobern		Attorney	100 W 1st St, Ste 106	Mount Pleasant	75455-4447	(903)572-0382	
County	County Court	Titus		Kent		Cooper		Judge	100 W 1st St, Ste 200	Mount Pleasant	75455-4400	(903)577-6791	 titusjudge@gmail.com
Justice of the Peace	Precinct 2 Place 1	Titus		Irma		Dunn		Judge	100 S Madison, Ste 200	Mount Pleasant	75455	(903)577-6756	 jp2@co.titus.tx.us
District	276th District Court	Titus		Michael		Kopech		Judge	105 W 1st St	Mount Pleasant	75455-2224	(903)645-2321	
District	76th District Court	Titus		Cresta	M.	Lefevre		Court Reporter	P O Box 1617	Mount Pleasant	75456-1868	(903)577-6735	
Municipal	Winfield	Titus		Kathryn	M.	Lovier		Presiding Judge	P O Box 98	Winfield	75493	(903)524-2020	 jperry@cityofwinfieldtx.com
County		Titus		Joe	H.	Loving	Jr.	Visiting Judge (local)					
Municipal	Mount Pleasant	Titus		Kay		McNutt		Presiding Judge	501 N Madison Ave	Mount Pleasant	75455-3650	(903)575-4010	 judge@mpcity.org
District	76th District Court	Titus		Angela	H.	Saucier		Judge	105 W 1st St	Mount Pleasant	75455	(903)577-6736	
County	County Court	Titus		Position		Vacant		Court Reporter	100 W 1st St, Ste 200	Mount Pleasant	75455-4400	(903)577-6791	 titusjudge@gmail.com
County	County Court	Titus		Monica		Welborn		Court Coordinator	100 W 1st St, Ste 200	Mount Pleasant	75455-4400	(903)577-6791	 titusjudge@gmail.com
County	County Court	Tom Green		Sharla		Bredemeyer		Court Reporter	122 W Harris	San Angelo	76903-5877	(325)659-6450	
County	County Court at Law	Tom Green		Sharla		Bredemeyer		Court Reporter	122 W Harris	San Angelo	76903-5877	(325)659-6450	 joe.losoya@co.tom-green.tx.us
County	County Court at Law No. 2	Tom Green		Sharla		Bredemeyer		Court Reporter	122 W Harris	San Angelo	76903-5877	(325)659-6450	 ccl2-admin@co.tom-green.tx.us
District	119th District Court	Tom Green		Nikki		Bruton		Court Coordinator	112 W Beauregard	San Angelo	76903-5835	(325)659-6570	
County	County Court	Tom Green		Lane		Carter		Judge	113 W Beauregard	San Angelo	76903-5877	(325)653-3318	
Justice of the Peace	Precinct 2 Place 1	Tom Green		Thomas	Lee	Daniel		Judge	5006 Knickerbocker Rd	San Angelo	76904-7519	(325)949-2415	 jp2office@co.tom-green.tx.us
Municipal	San Angelo	Tom Green		Jay	D.	Daniel		Presiding Judge	110 S Emerick	San Angelo	76903	(325)657-4366	 samc@cosatx.us
District	119th District Court	Tom Green		Lori		Dobbins		Court Reporter	112 W Beauregard	San Angelo	76903-5835	(325)659-6456	
District	51st District Court	Tom Green		Carmen	Symes	Dusek		Judge	112 W Beauregard	San Angelo	76903-5835	(325)657-8011	 renea.patterson@co.tom-green.tx.us
Municipal	San Angelo	Tom Green		Allen	Cecil	Gilbert		Associate Judge	110 S Emerick	San Angelo	76903	(325)657-4366	 samc@cosatx.us
District	391st District Court	Tom Green		Brad		Goodwin		Judge	112 W Beauregard	San Angelo	76903-5835	(325)657-8014	 erika.gonzales@co.tom-green.tx.us
County	County Court at Law No. 2	Tom Green		Andrew		Graves		Judge	122 W Harris	San Angelo	76903-5877	(325)658-2495	 ccl2-admin@co.tom-green.tx.us
District	391st District Court	Tom Green		Debbie		Harris		Court Reporter	112 W Beauregard	San Angelo	76903-5850	(325)659-6456	 erika.gonzales@co.tom-green.tx.us
Justice of the Peace	Precinct 4 Place 1	Tom Green		Benjamin (Eddie)	E.	Howard		Judge	124 W Beauregard	San Angelo	76903-5835	(325)659-6424	 jp4office@co.tom-green.tx.us
County	County Court	Tom Green		Sandi		Kenney		Court Coordinator	113 W Beauregard	San Angelo	76903-5877	(325)653-3318	
District		Tom Green		Tommy		LaFon	(Criminal)	Magistrate					
County	County Court at Law	Tom Green		Jose		Losoya		Court Coordinator	122 W Harris	San Angelo	76903-5877	(325)659-6559	 joe.losoya@co.tom-green.tx.us
District	District Clerk Office	Tom Green	Mr.	Anthony		Monico		Clerk	112 W Beauregard	San Angelo	76903-5850	(325)659-6579	 anthony.monico@co.tom-green.tx.us
County	County Court at Law	Tom Green		Charles (Ben)		Nolen		Judge	122 W Harris	San Angelo	76903-5877	(325)659-6559	 joe.losoya@co.tom-green.tx.us
District	340th District Court	Tom Green		Sylvia		Noriega		Court Coordinator	112 W Beauregard	San Angelo	76903-5835	(325)659-8013	
District	51st District Court	Tom Green		Renea		Patterson		Court Coordinator	112 W Beauregard	San Angelo	76903-5835	(325)657-8011	 renea.patterson@co.tom-green.tx.us
County	County Court at Law No. 2	Tom Green		Jana		Rincones		Court Coordinator	122 W Harris	San Angelo	76903-5877	(325)658-2495	 ccl2-admin@co.tom-green.tx.us
District	340th District Court	Tom Green		Cindy		Rister-Saunders		Court Reporter	112 W Beauregard	San Angelo	76903-5850	(325)659-6573	
District	340th District Court	Tom Green		Natalie		Rodriguez	(Criminal)	Court Coordinator	112 W Beauregard	San Angelo	76903-5835	(325)657-8015	
Justice of the Peace	Precinct 3 Place 1	Tom Green		Stacye	Williams	Speck		Judge	3052 N Bryant	San Angelo	76903-2345	(325)657-9922	 jp3office@tom-green.tx.us
County		Tom Green		Chris		Taylor		Attorney	122 W Harris	San Angelo	76903-5877	(325)659-6564	
County	County Clerk Office	Tom Green	Ms.	Christina		Ubando		Clerk	124 W Beauregard	San Angelo	76903-5835	(325)659-6553	 christina.ubando@co.tom-green.tx.us
District	340th District Court	Tom Green		Jay	K.	Weatherby		Judge	112 W Beauregard	San Angelo	76903-5835	(325)659-8013	
Justice of the Peace	Precinct 1 Place 1	Tom Green		Susan	L.	Werner		Judge	122 W Harris, Rm 8	San Angelo	76903-5839	(325)659-6444	 jp1office@co.tom-green.tx.us
District	51st District Court	Tom Green		Cindy		Wilde		Court Reporter	112 W Beauregard	San Angelo	76903-5835	(325)659-6574	 renea.patterson@co.tom-green.tx.us
District	119th District Court	Tom Green		Garland (Ben)	Benton	Woodward		Judge	112 W Beauregard	San Angelo	76903-5835	(325)659-6570	
County	County Court at Law No. 3	Travis		Ladelle		Abilez		Court Reporter	P O Box 1748	Austin	78767-1748	(512)854-9247	
District	353rd District Court	Travis		Jill	A.	Albracht		Court Reporter	P O Box 1748	Austin	78767-1748	(512)854-9356	 353.submission@traviscountytx.gov
Municipal	Austin	Travis		Rae-ann	F.	Allong		Associate Judge	6800 Burleson Rd, Bldg 310, Ste 175	Austin	78744	(512)974-4800	 court@austintexas.gov
District	460th District Court	Travis		Selena		Alvarenga		Judge	P O Box 1748	Austin	78767-1748	(512)854-6150	 460th.reset@traviscountytx.gov
District	98th District Court	Travis		Cindi		Alvarez		Court Reporter	P O Box 1748	Austin	78767-1748	(512)854-3096	 rhonda.hurley@traviscountytx.gov
County	County Court at Law No. 2	Travis		Amanda		Anderson		Court Reporter	P O Box 1748	Austin	78767-1748	(512)854-9250	
Municipal	Lakeway	Travis		Venessa		Arellano		Deputy Clerk	104 Cross Creek	Lakeway	78734-4470	(512)314-7560	 court@lakeway-tx.gov
Municipal	Lakeway	Travis		Tamara		Arguello		Court Coordinator	104 Cross Creek	Lakeway	78734-4470	(512)314-7560	 court@lakeway-tx.gov
District		Travis		James	L.	Arth	(Family)	Associate Judge	P O Box 1748	Austin	78767-1748	(512)854-9300	
County	County Court at Law No. 8	Travis		Carlos	H.	Barrera		Judge	P O Box 1748	Austin	78767	(512)854-7180	 cc8reset@traviscountytx.gov
District	98th District Court	Travis		Dorina		Batte		Court Coordinator	P O Box 1748	Austin	78767-1748	(512)854-3094	 rhonda.hurley@traviscountytx.gov
District	345th District Court	Travis		Elliott		Beck		Staff Attorney	P O Box 1748	Austin	78767-1748	(512)854-9892	 345.submission@traviscountytx.gov
District	167th District Court	Travis		Dayna	L.	Blazey		Judge	509 W 11th	Austin	78701	(512)854-9310	 167thvoicemail@traviscountytx.gov
District	147th District Court	Travis		Clifford	A.	Brown		Judge	P O Box 1748	Austin	78767-1748	(512)854-9311	 jeanette.deleon@traviscountytx.gov
County	County Court	Travis		Andy	Steven	Brown		Judge	700 Lavaca St, Rm 2.300	Austin	78701	(512)854-9555	 Judge@traviscountytx.gov
District	419th District Court	Travis		Kathryn		Burnstein		Staff Attorney	P O Box 1748	Austin	78767-1748	(512)854-4029	 victoria.chambers@traviscountytx.gov
